Geni id,Geni profile name,BH database URL,Ushi,BH theme,BH floor,BH location,,Wikipedia URL,Notes,RANDY,,
6000000007033306200,Camille Pissaro,,,Plastic Art,3,Art Mix (Led Screens),,OK,also in shine a light boxes,,,
6000000002410150679,Chaim Soutine,,"שפות תרבות ואמנות, אומנות, נבזלין ",Plastic Art,3,Art Mix (Led Screens),,OK,,,,
6000000020193855097,Yaacov Agam,,,Plastic Art,3,Art Mix (Led Screens),,OK,,,,
6000000004398539523,Léon Bakst,,"אמנויות הבימה, מחול, ומה עם מחול מודרני? 3.5.3",Plastic Art,3,Art Mix (Led Screens),,OK,,,,
6000000028461505068,Louise Nevelson,," שפות תרבות ואמנות, אמנות, נבזלין",Plastic Art,3,Art Mix (Led Screens),,OK,,,,
6000000024772723249,Marcel Janco,,"שפות תרבות ואמנות, אמנות, נבזלין",Plastic Art,3,Art Mix (Led Screens),,OK,,,,
2989656,Mark Antokolsky,,,Plastic Art,3,Art Mix (Led Screens),,OK,,,,
6000000009075690123,Mark Rothko,,"אמנויות הבימה, אודיטוריום תרבות",Plastic Art,3,Art Mix (Led Screens),,OK,,,,
6000000021556351132,Moritz Daniel Oppenheim,,,Plastic Art,3,Art Mix (Led Screens),,OK,,,,
6000000002524927829,Naum Gabo,,,Plastic Art,3,Art Mix (Led Screens),,"אין פרופיל בעברית בויקיפדיה, נתתי קישור על קונסטטרוקטיביזם",DONE,No Hebrew,,
6000000008529209690,Adolph Gottlieb,,,Visual Art,3,Art Mix (Led Screens),,"יש פרופיל, הוספתי עברית, צורף ל-BH",DONE,,,
4414701787670038729,Alfred Stieglitz,,"שפות תרבות ואמנות, אמנות, נבזלין",Visual Art,3,Art Mix (Led Screens),,OK,,,,
5161890449780084517,Amedeo Modigliani,,"יהודים בתרבות העולם, קיר ירמי פינקוס",Visual Art,3,Art Mix (Led Screens),,OK,,,,
6000000012389038282,Anna Ticho,,,Visual Art,3,Art Mix (Led Screens),,"יש פרופיל, הוספתי עברית, צורפה ל-BH",DONE,,,
6000000044009818202,Anni Albers,,,Visual Art,3,Art Mix (Led Screens),,"יש פרופיל, הוספתי עברית, צורף ל-BH",DONE,,,
6000000096462876821,Archie Rand,,,Visual Art,3,Art Mix (Led Screens),,"יש פרופיל, נוספה פסקה בעברית, צורף ל-BH",DONE,,,
6000000120573199826,Arthur Szyk,,,Visual Art,3,Art Mix (Led Screens),,"יש פרופיל בג'ני, הוספתי עברית צורף ל-BH",DONE,,,
6000000002423949072,Avigdor Arikha,,,Visual Art,3,Art Mix (Led Screens),,"יש פרופיל בג'ני, הוספתי עברית צורף ל-BH",DONE,,,
6000000001110135118,Ben Shahn,,,Visual Art,3,Art Mix (Led Screens),,"יש פרופיל, הוספתי עברית, צורף ל-BH",DONE,,,
6000000024023268364,Boris Schatz,,,Visual Art,3,Art Mix (Led Screens),,"יש פרופיל, הוספתי עברית, צורף ל-BH",DONE,,,
6000000002910390101,Garry Winogrand,,,Visual Art,3,Art Mix (Led Screens),,"יש פרופיל בג'ני, הוספתי עברית צורף ל-BH",DONE,,,
6000000029820442158,Isidor Kaufmann,,,Visual Art,3,Art Mix (Led Screens),,"יש פרופיל, הוספתי עברית, צורף ל-BH",DONE,,,
